Training Epochs,OPE_Estimate,MC_Success_Rate,Start_MC_Return_Mean,Start_MC_MSE_V,Start_MC_MAE_V,Start_MC_MSE_Q,Start_MC_MAE_Q,Traj_MC_Num_States,Traj_MC_MSE_V,Traj_MC_MAE_V,Traj_MC_MSE_Q,Traj_MC_MAE_Q,L_Crit,L_Value,V_Pred,Weight
0,0.20038636028766632,0.8999999761581421,0.01901998743414879,0.07710538804531097,0.2036515176296234,0.09017360210418701,0.22161276638507843,8407.0,0.19951359927654266,0.3259238004684448,0.2019871175289154,0.3243715167045593,5.192886000220024,0.0005629031876320369,0.030112294949416536,1.0
1,0.039938874542713165,0.800000011920929,0.02366001345217228,0.007325473241508007,0.06210596486926079,0.00827812496572733,0.06412378698587418,6951.0,0.1294156163930893,0.2562757730484009,0.1329919993877411,0.25698617100715637,5.369868598354695,0.0006459859693277395,0.013717985738259449,1.0
2,0.001944820280186832,0.8999999761581421,0.02513113059103489,0.0013520832872018218,0.027456466108560562,0.0014478197554126382,0.030192872509360313,7708.0,0.11775215715169907,0.23005685210227966,0.11900237202644348,0.23103810846805573,4.976181714244982,0.003213357331944189,0.0012396708564676373,1.0
3,0.0019162282114848495,0.8999999761581421,0.021346192806959152,0.0013603043043985963,0.0255883876234293,0.0013475741725414991,0.024337807670235634,8092.0,0.11776983737945557,0.22269535064697266,0.11256445199251175,0.22073642909526825,4.575457626638028,0.01124535986103242,0.00021734486338482385,1.0
4,0.014636356383562088,0.8500000238418579,0.022609738633036613,0.002255215309560299,0.03927258029580116,0.0011286830995231867,0.024668101221323013,7053.0,0.12299581617116928,0.23988521099090576,0.15128940343856812,0.24183985590934753,3.76178588254063,0.038973472275367065,0.0005694190976866594,1.0
5,0.011745943687856197,0.8500000238418579,0.028395656496286392,0.0028664511628448963,0.04479733109474182,0.0018333304906263947,0.03367752209305763,7179.0,0.15257953107357025,0.2470044195652008,0.19883538782596588,0.24334828555583954,3.3305938001915654,0.055380661865590174,0.0013765001682192633,1.0
6,0.004477050621062517,0.8999999761581421,0.024761810898780823,0.001314257038757205,0.026113072410225868,0.001469797338359058,0.02963169477880001,7716.0,0.19631114602088928,0.23312218487262726,0.22841963171958923,0.23659902811050415,2.98685522870281,0.08189545263541427,0.001926549710614927,1.0
7,0.004976075142621994,0.949999988079071,0.01981000415980816,0.0009714639745652676,0.022281931713223457,0.000943506951443851,0.021464264020323753,8732.0,0.12682856619358063,0.2187700867652893,0.1096845269203186,0.21512342989444733,2.6392959555658297,0.0692333679551387,0.0022740402515377353,1.0
8,0.004094045143574476,1.0,0.0400971993803978,0.0031714499928057194,0.04174482077360153,0.0031408164650201797,0.04221203178167343,8035.0,0.1396465301513672,0.2448909878730774,0.1305248886346817,0.2447597086429596,2.5882311206153323,0.07133117079643325,0.002324005912972461,1.0
9,0.002969387685880065,0.8500000238418579,0.02722054161131382,0.0017423412064090371,0.03175462782382965,0.0018434429075568914,0.03542298823595047,7315.0,0.12411372363567352,0.23480847477912903,0.20164859294891357,0.238165482878685,2.380234476356066,0.07375526520280797,0.0030235984170023586,1.0
10,0.007803659420460463,0.949999988079071,0.03144599124789238,0.0023619818966835737,0.03469480574131012,0.0023180365096777678,0.033805783838033676,8076.0,0.5577459931373596,0.2651045322418213,0.16830551624298096,0.23763887584209442,2.2120555373416724,0.08359944163228347,0.004514992194895967,1.0
11,0.003165419213473797,0.8999999761581421,0.022699687629938126,0.0013727397890761495,0.02482365258038044,0.001355611952021718,0.024162117391824722,8125.0,0.7739905714988708,0.24639008939266205,0.8704864382743835,0.24339336156845093,2.0349622463098895,0.07854524775531936,0.00378785434235233,1.0
12,0.002470047678798437,0.800000011920929,0.02591725066304207,0.001998733961954713,0.031074384227395058,0.0019023226341232657,0.030713114887475967,6992.0,0.1541563719511032,0.23353832960128784,0.11611784249544144,0.22701700031757355,1.9774424024698678,0.0926843393350011,0.00402918472477395,1.0
13,-0.006808187812566757,0.8500000238418579,0.02398676797747612,0.0016645541181787848,0.03112053871154785,0.0014216520357877016,0.026737164705991745,7469.0,0.816290557384491,0.25562211871147156,0.41716116666793823,0.23699869215488434,1.8110984663131742,0.07484578901482418,0.0037488052443653943,1.0
14,0.003178618149831891,0.8999999761581421,0.026226306334137917,0.0016013334970921278,0.02890302613377571,0.0016315024113282561,0.03057834878563881,8555.0,0.414804071187973,0.22536468505859375,0.28989776968955994,0.21816466748714447,1.7345028495622412,0.07423408198870188,0.0036673240410389552,1.0
15,0.0013725219760090113,1.0,0.02842343971133232,0.001623672666028142,0.028175801038742065,0.0016640970716252923,0.02841799333691597,8450.0,0.20530840754508972,0.24149486422538757,0.14149077236652374,0.23708683252334595,1.7817884087669056,0.08073729621499756,0.00492882142389808,1.0
16,0.005357987713068724,0.949999988079071,0.02070344053208828,0.0006544938078150153,0.019940640777349472,0.0007739388383924961,0.02217213436961174,8208.0,0.2725003659725189,0.2513095438480377,0.5542227029800415,0.25911131501197815,1.7626847413539803,0.08583152438356079,0.004908890996169793,1.0
